Flight_Number,Flight_Date,Origin,Destination,Route,Aircraft_Type,Aircraft_Capacity,Passengers,Load_Factor,Flight_Hours,Season,Route_Category,Demand_Level,Ticket_Revenue,Ancillary_Revenue,Total_Revenue,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin,Year,Quarter,Month_Number,Month,Day,Day_Name
EK1001,2024-01-02,DXB,FRA,DXB-FRA,Airbus A380,500,417,0.8339,14.08,Winter,Long-haul,High,567968.47,77450.25,645418.72,411876.55,168759.15,79168.49,224678.16,40085.31,44895.55,51509.62,17599.06,33671.66,397245.42,50908.34,318076.93,119654.65,29462.7,459222.23,186196.49,0.2885,2024,1,1,January,2,Tuesday
EK1002,2024-01-02,DXB,FRA,DXB-FRA,Airbus A380,500,429,0.8572,14.0,Winter,Long-haul,High,475650.59,64861.44,540512.03,334704.78,137139.38,64334.98,182581.05,32574.67,36483.64,41858.46,27851.35,27362.73,322815.03,41369.84,258480.04,97235.4,23942.39,373179.48,167332.55,0.3096,2024,1,1,January,2,Tuesday
EK1003,2024-01-02,DXB,FRA,DXB-FRA,Airbus A380,500,419,0.8373,13.46,Winter,Long-haul,High,456113.56,62197.3,518310.86,318373.09,130447.76,61195.8,173672.13,30985.22,34703.44,39816.0,26492.36,26027.58,307063.49,39351.22,245867.68,92490.87,22774.13,354970.44,163340.42,0.3151,2024,1,1,January,2,Tuesday
EK1004,2024-01-05,DXB,FRA,DXB-FRA,Airbus A380,500,414,0.8273,12.37,Winter,Long-haul,High,500563.43,68258.65,568822.08,355530.3,145672.27,68337.94,193941.35,34601.49,38753.67,44462.91,29584.27,29065.25,342900.76,43943.89,274562.82,103285.45,25432.09,396398.91,172423.17,0.3031,2024,1,1,January,5,Friday
EK1005,2024-01-09,DXB,FRA,DXB-FRA,Airbus A380,500,426,0.8509,13.64,Winter,Long-haul,High,530538.74,72346.19,602884.93,380587.72,155939.1,73154.33,207610.14,37040.17,41484.99,47596.61,31669.34,31113.74,367068.06,47041.01,293913.73,110564.9,27224.52,424336.71,178548.22,0.2962,2024,1,1,January,9,Tuesday
EK1006,2024-01-09,DXB,FRA,DXB-FRA,Airbus A380,500,417,0.8329,9.56,Winter,Long-haul,High,542583.22,73988.62,616571.84,390656.12,160064.45,75089.62,213102.44,38020.06,42582.47,48855.78,32507.15,31936.85,376778.8,48285.48,301689.18,113489.88,27944.74,435562.49,181009.35,0.2936,2024,1,1,January,9,Tuesday
EK1007,2024-01-13,DXB,FRA,DXB-FRA,Airbus A380,500,429,0.8577,13.09,Winter,Long-haul,High,514593.92,70171.9,584765.82,367258.89,150477.85,70592.34,200339.28,35742.96,40032.11,45929.7,30560.23,30024.08,354212.71,45393.56,283620.37,106692.73,26271.07,409475.71,175290.11,0.2998,2024,1,1,January,13,Saturday
EK1008,2024-01-14,DXB,FRA,DXB-FRA,Airbus A380,500,454,0.9078,9.87,Winter,Long-haul,High,466414.11,63601.92,530016.03,326983.68,133975.79,62850.88,178369.2,31823.23,35642.02,40892.85,27208.86,26731.51,315368.2,40415.5,252517.32,94992.34,23390.07,364570.82,165445.21,0.3122,2024,1,1,January,14,Sunday
EK1009,2024-01-15,DXB,FRA,DXB-FRA,Airbus A380,500,443,0.8847,9.51,Winter,Long-haul,High,504210.9,68756.03,572966.93,358579.35,146921.56,68924.01,195604.6,34898.23,39086.02,44844.23,29837.99,29314.52,345841.49,44320.76,276917.48,104171.23,25650.2,399798.45,173168.48,0.3022,2024,1,1,January,15,Monday
EK1010,2024-01-15,DXB,FRA,DXB-FRA,Airbus A380,500,411,0.822,10.02,Winter,Long-haul,High,422774.91,57651.12,480426.03,290504.13,119028.94,55838.99,158469.65,28272.91,31665.66,36330.69,24173.34,23749.24,280184.52,35906.59,224345.53,84394.63,20780.59,323897.91,156528.12,0.3258,2024,1,1,January,15,Monday
EK1011,2024-01-21,DXB,FRA,DXB-FRA,Airbus A380,500,420,0.839,7.86,Winter,Long-haul,High,493766.77,67331.83,561098.6,349848.74,143344.35,67245.86,190842.06,34048.54,38134.36,43752.37,29111.5,28600.77,337421.02,43241.64,270175.15,101634.89,25025.68,390064.24,171034.36,0.3048,2024,1,1,January,21,Sunday
EK1012,2024-01-21,DXB,FRA,DXB-FRA,Airbus A380,500,427,0.8532,14.33,Winter,Long-haul,High,491123.32,66971.36,558094.68,347638.98,142438.94,66821.12,189636.64,33833.48,37893.49,43476.02,28927.62,28420.12,335289.76,42968.52,268468.64,100992.93,24867.61,387600.48,170494.2,0.3055,2024,1,1,January,21,Sunday
EK1013,2024-01-22,DXB,FRA,DXB-FRA,Airbus A380,500,420,0.8381,7.68,Winter,Long-haul,High,569499.63,77659.04,647158.67,413156.5,169283.59,79414.51,225376.37,40209.88,45035.06,51669.69,34379.45,33776.3,398479.9,51066.55,319065.39,120026.49,29554.26,460649.31,186509.36,0.2882,2024,1,1,January,22,Monday
EK1014,2024-01-22,DXB,FRA,DXB-FRA,Airbus A380,500,425,0.8483,8.71,Winter,Long-haul,High,427933.26,58354.54,486287.8,294816.19,120795.73,56667.83,160821.87,28692.57,32135.68,36869.96,24532.15,24101.76,284343.4,36439.57,227675.57,85647.33,21089.04,328705.65,157582.15,0.3241,2024,1,1,January,22,Monday
EK1015,2024-01-27,DXB,FRA,DXB-FRA,Airbus A380,500,416,0.8311,14.18,Winter,Long-haul,High,530034.48,72277.43,602311.91,380166.19,155766.39,73073.31,207380.2,36999.14,41439.04,47543.9,31634.27,31079.28,366661.5,46988.91,293588.2,110442.44,27194.37,423866.73,178445.18,0.2963,2024,1,1,January,27,Saturday
EK1016,2024-01-28,DXB,FRA,DXB-FRA,Airbus A380,500,432,0.8638,9.23,Winter,Long-haul,High,462970.65,63132.36,526103.01,324105.17,132796.38,62297.59,176798.98,31543.08,35328.25,26383.38,26969.34,26496.19,312591.94,40059.71,250294.36,94156.1,23184.17,361361.43,164741.58,0.3131,2024,1,1,January,28,Sunday
EK1017,2024-01-28,DXB,FRA,DXB-FRA,Airbus A380,500,429,0.8567,10.82,Winter,Long-haul,High,417642.91,56951.31,474594.22,286214.12,117271.19,55014.39,156129.46,27855.39,31198.04,35794.18,23816.36,23398.53,276046.91,35376.34,221032.51,83148.34,20473.71,319114.76,155479.46,0.3276,2024,1,1,January,28,Sunday
EK1018,2024-01-29,DXB,FRA,DXB-FRA,Airbus A380,500,431,0.8616,10.54,Winter,Long-haul,High,470439.04,64150.78,534589.82,330348.27,135354.38,63497.6,180204.58,32150.68,36008.76,41313.63,27488.83,27006.57,318613.27,40831.37,255115.67,95969.79,23630.75,368322.18,166267.64,0.311,2024,1,1,January,29,Monday
EK1019,2024-02-02,DXB,FRA,DXB-FRA,Airbus A380,500,436,0.8716,11.02,Winter,Long-haul,High,550858.76,75117.1,625975.86,397573.94,162898.91,76419.32,216876.1,38693.33,43336.53,49720.93,33082.79,32502.4,383450.87,49140.53,307031.55,115499.58,28439.6,443275.51,182700.35,0.2919,2024,1,2,February,2,Friday
EK1020,2024-02-02,DXB,FRA,DXB-FRA,Airbus A380,500,415,0.8285,12.0,Winter,Long-haul,High,405119.01,55243.5,460362.51,275744.95,112981.63,53002.07,150418.53,26836.49,30056.87,34484.89,22945.2,22542.65,265949.63,34082.34,212947.56,80106.93,19724.82,307442.14,152920.37,0.3322,2024,1,2,February,2,Friday
EK1021,2024-02-04,DXB,FRA,DXB-FRA,Airbus A380,500,437,0.8738,10.71,Winter,Long-haul,High,496271.12,67673.34,563944.46,351942.22,144202.11,67648.26,191984.05,34252.28,38362.56,44014.18,29285.7,28771.92,339440.13,43500.4,271791.87,102243.07,25175.43,392398.37,171546.09,0.3042,2024,1,2,February,4,Sunday
EK1022,2024-02-04,DXB,FRA,DXB-FRA,Airbus A380,500,416,0.8314,13.84,Winter,Long-haul,High,434843.63,59296.86,494140.49,300592.81,123162.6,57778.18,163973.01,29254.77,32765.35,37592.39,17599.06,24574.01,289914.81,37153.56,232136.64,87325.5,21502.26,335146.29,158994.2,0.3218,2024,1,2,February,4,Sunday
EK1023,2024-02-05,DXB,FRA,DXB-FRA,Airbus A380,500,428,0.8542,8.0,Winter,Long-haul,High,456474.16,62246.48,518720.64,318674.53,130571.27,61253.74,173836.57,31014.55,34736.3,26383.38,26517.44,26052.22,307354.22,39388.48,246100.48,92578.44,22795.7,355306.53,163414.11,0.315,2024,1,2,February,5,Monday
EK1024,2024-02-06,DXB,FRA,DXB-FRA,Airbus A380,500,421,0.8407,9.47,Winter,Long-haul,High,421212.87,57438.12,478650.99,289198.37,118493.93,55588.01,157757.36,28145.83,31523.33,36167.39,24064.68,23642.49,278925.15,35745.2,223337.14,84015.29,20687.18,322442.06,156208.93,0.3264,2024,1,2,February,6,Tuesday
EK1025,2024-02-07,DXB,FRA,DXB-FRA,Airbus A380,500,432,0.8622,9.47,Winter,Long-haul,High,431621.19,58857.43,490478.62,297899.06,122058.88,57260.4,162503.57,28992.61,32471.72,37255.5,24788.68,24353.79,287316.75,36820.61,230056.35,86542.94,21309.57,332142.89,158335.73,0.3228,2024,1,2,February,7,Wednesday
EK1026,2024-02-08,DXB,FRA,DXB-FRA,Airbus A380,500,430,0.8594,10.39,Winter,Long-haul,High,465788.13,63516.56,529304.69,326460.41,133761.39,62750.3,178083.75,31772.3,35584.98,40827.41,27165.32,26688.73,314863.52,40350.82,252113.22,94840.32,23352.64,363987.4,165317.29,0.3123,2024,1,2,February,8,Thursday
EK1027,2024-02-10,DXB,FRA,DXB-FRA,Airbus A380,500,424,0.8467,12.76,Winter,Long-haul,High,532957.42,72676.01,605633.43,382609.58,156767.53,73542.96,208713.06,37236.94,41705.38,47849.47,31837.59,31279.03,369018.1,47290.92,295475.14,111152.27,27369.15,426590.99,179042.44,0.2956,2024,1,2,February,10,Saturday
EK1028,2024-02-10,DXB,FRA,DXB-FRA,Airbus A380,500,434,0.8665,13.29,Winter,Long-haul,High,456662.75,62272.19,518934.94,318832.18,130635.86,61284.04,173922.56,31029.9,34753.48,39873.42,17599.06,26065.11,307506.26,39407.97,246222.22,92624.24,22806.97,355482.3,163452.64,0.315,2024,1,2,February,10,Saturday
EK1029,2024-02-11,DXB,FRA,DXB-FRA,Airbus A380,500,428,0.8549,14.15,Winter,Long-haul,High,501156.37,68339.5,569495.87,356025.96,145875.36,68433.21,194211.73,34649.73,38807.7,44524.9,29625.52,29105.77,343378.81,44005.15,274945.59,103429.44,25467.55,396951.54,172544.33,0.303,2024,1,2,February,11,Sunday
EK1030,2024-02-13,DXB,FRA,DXB-FRA,Airbus A380,500,425,0.848,9.8,Winter,Long-haul,High,518554.38,70711.96,589266.34,370569.57,151834.34,71228.7,202145.25,36065.16,40392.98,46343.74,30835.72,30294.74,357405.78,45802.76,286177.08,107654.52,26507.9,413166.96,176099.38,0.2988,2024,1,2,February,13,Tuesday
EK1031,2024-02-13,DXB,FRA,DXB-FRA,Airbus A380,500,425,0.8498,7.9,Winter,Long-haul,High,496958.07,67767.01,564725.08,352516.46,144437.4,67758.64,192297.3,34308.17,38425.15,44086.0,29333.49,28818.86,339993.97,43571.38,272235.34,102409.89,25216.51,393038.62,171686.46,0.304,2024,1,2,February,13,Tuesday
EK1032,2024-02-14,DXB,FRA,DXB-FRA,Airbus A380,500,419,0.8365,8.32,Winter,Long-haul,High,425572.33,58032.59,483604.92,292842.6,119987.09,56288.48,159745.28,28500.5,31920.56,36623.14,24367.92,23940.42,282439.92,36195.63,226151.44,85073.98,20947.86,326505.19,157099.73,0.3249,2024,1,2,February,14,Wednesday
EK1033,2024-02-17,DXB,FRA,DXB-FRA,Airbus A380,500,427,0.8537,8.01,Winter,Long-haul,High,544777.96,74287.9,619065.86,392490.78,160816.17,75442.27,214103.24,38198.62,42782.45,49085.22,32659.82,32086.84,378548.29,48512.24,303106.02,114022.87,28075.98,437608.04,181457.82,0.2931,2024,1,2,February,17,Saturday
